ID	annotation	capital letters
GAMO_00043092	SYT11	SYT11
GAMO_00043364	unknown	UNKNOWN
GAMO_00043823	ETNK1	ETNK1
GAMO_00043934	ELOVL6	ELOVL6
GAMO_00043936	ADPGK	ADPGK
GAMO_00043989	MYO5C	MYO5C
GAMO_00044163	GATD1	GATD1
GAMO_00044268	ISLR2	ISLR2
GAMO_00044393	TLN2	TLN2
GAMO_00044486	SLC28A2	SLC28A2
GAMO_00044489	CHD2	CHD2
GAMO_00044513	NR2F2	NR2F2
GAMO_00044573	PNP	PNP
GAMO_00044667	Ntrk3	NTRK3
GAMO_00044673	AGBL1	AGBL1
GAMO_00044677	AGTPBP1	AGTPBP1
GAMO_00044770	exoc3l1	EXOC3L1
GAMO_00044782	NDRG4	NDRG4
GAMO_00044803	Il34	IL34
GAMO_00044836	mt	MT
GAMO_00044959	NECAB2	NECAB2
GAMO_00045070	Mtss1l	MTSS1L
GAMO_00045109	UQCRFS1	UQCRFS1
GAMO_00045209	odf3b	ODF3B
GAMO_00045216	NETO2	NETO2
GAMO_00045249	SPCC1494.01	SPCC1494.01
GAMO_00045252	C12orf73	C12ORF73
GAMO_00045253	SAMM50	SAMM50
GAMO_00045254	API5	API5
GAMO_00045270	Edil3	EDIL3
GAMO_00045273	Hapln3	HAPLN3
GAMO_00045301	Ano1	ANO1
GAMO_00045339	SYT9	SYT9
GAMO_00045491	TNNT3	TNNT3
GAMO_00045498	TNNI2	TNNI2
GAMO_00045669	SMC1B	SMC1B
GAMO_00045673	CPA2	CPA2
GAMO_00045721	ldha	LDHA
GAMO_00045775	CIB1	CIB1
GAMO_00045876	fjx1	FJX1
GAMO_00046090	TSPAN18	TSPAN18
GAMO_00046109	COX5A	COX5A
GAMO_00046111	PKM	PKM
GAMO_00046120	SCAMP5	SCAMP5
GAMO_00046150	Tnni3	TNNI3
GAMO_00046151	BPGM	BPGM
GAMO_00046153	PF13_0198	PF13_0198
GAMO_00046218	unknown	UNKNOWN
GAMO_00046321	SHISAL1	SHISAL1
GAMO_00046406	FBLN1	FBLN1
GAMO_00046666	FLNB	FLNB
GAMO_00046688	ARL6IP5	ARL6IP5
GAMO_00046719	NLRC3	NLRC3
GAMO_00046728	Ptprb	PTPRB
GAMO_00046739	zgc:113413	ZGC:113413
GAMO_00046740	zgc:113413	ZGC:113413
GAMO_00046835	PSMD7	PSMD7
GAMO_00046921	SEMA3E	SEMA3E
GAMO_00046936	SEMA3D	SEMA3D
GAMO_00047010	FKBP4	FKBP4
GAMO_00047067	MAPK8IP2	MAPK8IP2
GAMO_00047171	cav1	CAV1
GAMO_00047234	F2RL3	F2RL3
GAMO_00047235	unknown	UNKNOWN
GAMO_00047405	Ebf3	EBF3
GAMO_00047778	Myot	MYOT
GAMO_00047782	MXRA5	MXRA5
GAMO_00047785	RAB33A	RAB33A
GAMO_00047881	CISD1	CISD1
GAMO_00047882	UBE2D3	UBE2D3
GAMO_00048185	SPRY1	SPRY1
GAMO_00048219	SQSTM1	SQSTM1
GAMO_00048248	RAN	RAN
GAMO_00048527	GAR1	GAR1
GAMO_00048677	Fstl5	FSTL5
GAMO_00048731	PRPF19	PRPF19
GAMO_00048764	Smtn	SMTN
GAMO_00048887	PCDHA4	PCDHA4
GAMO_00048902	ETF1	ETF1
GAMO_00049035	unknown	UNKNOWN
GAMO_00049056	SYNPO	SYNPO
GAMO_00049128	NPY2R	NPY2R
GAMO_00049138	Neurl1b	NEURL1B
GAMO_00049231	ywlC	YWLC
GAMO_00049271	KCTD16	KCTD16
GAMO_00049299	unknown	UNKNOWN
GAMO_00049353	Adgrg2	ADGRG2
GAMO_00049364	RBMX	RBMX
GAMO_00049429	PDZD11	PDZD11
GAMO_00049452	SLC25A6	SLC25A6
GAMO_00049460	Efemp2	EFEMP2
GAMO_00049478	Gpc6	GPC6
GAMO_00049546	unknown	UNKNOWN
GAMO_00049709	MED7	MED7
GAMO_00049731	ABLIM3	ABLIM3
GAMO_00049796	HS3ST1	HS3ST1
GAMO_00049896	Cplx2	CPLX2
GAMO_00049984	Tmed11	TMED11
GAMO_00050087	ATP5PO	ATP5PO
GAMO_00050144	Tnmd	TNMD
GAMO_00050421	pdgfrb	PDGFRB
GAMO_00050543	TUBA4A	TUBA4A
GAMO_00050589	DES	DES
GAMO_00050650	SACS	SACS
GAMO_00050803	unknown	UNKNOWN
GAMO_00050897	SDPR	SDPR
GAMO_00050926	PCBP3	PCBP3
GAMO_00051000	Cyp27a1	CYP27A1
GAMO_00051049	TBX15	TBX15
GAMO_00051190	CRYGB	CRYGB
GAMO_00051490	unknown	UNKNOWN
GAMO_00051494	TNFSF11	TNFSF11
GAMO_00051550	IL1RL1	IL1RL1
GAMO_00051570	ITM2B	ITM2B
GAMO_00051664	slc12a8	SLC12A8
GAMO_00051677	MYH4	MYH4
GAMO_00051748	unknown	UNKNOWN
GAMO_00051756	NDUFA10	NDUFA10
GAMO_00051936	hspb11	HSPB11
GAMO_00052113	pla1a	PLA1A
GAMO_00052140	NYX	NYX
GAMO_00052141	DDX3X	DDX3X
GAMO_00052142	RPL8	RPL8
GAMO_00052221	itgbl1	ITGBL1
GAMO_00052308	hpx	HPX
GAMO_00052320	GATD3A	GATD3A
GAMO_00052447	SPOPL	SPOPL
GAMO_00052538	NR4A2	NR4A2
GAMO_00052632	KLHL41	KLHL41
GAMO_00052735	chrna1	CHRNA1
GAMO_00052804	unknown	UNKNOWN
GAMO_00052817	CASQ2	CASQ2
GAMO_00052820	OAM	OAM
GAMO_00052927	GPM6B	GPM6B
GAMO_00053160	ADAM23	ADAM23
GAMO_00053236	SCN1A	SCN1A
GAMO_00053428	unknown	UNKNOWN
GAMO_00053641	DPYSL5	DPYSL5
GAMO_00053649	DTNB	DTNB
GAMO_00053775	Clmn	CLMN
GAMO_00054021	WDR43	WDR43
GAMO_00054070	Kcnf1	KCNF1
GAMO_00054151	EIPR1	EIPR1
GAMO_00054167	Col12a1	COL12A1
GAMO_00054333	PABPC4	PABPC4
GAMO_00054338	FAM167A	FAM167A
GAMO_00054346	CLIC4	CLIC4
GAMO_00054370	unknown	UNKNOWN
GAMO_00054405	IFI27	IFI27
GAMO_00054406	IFI27	IFI27
GAMO_00054409	IFI27	IFI27
GAMO_00054483	adssl1	ADSSL1
GAMO_00054526	unknown	UNKNOWN
GAMO_00054527	ACTC1	ACTC1
GAMO_00054592	unknown	UNKNOWN
GAMO_00054891	RTN1	RTN1
GAMO_00055168	SYNCRIP	SYNCRIP
GAMO_00055308	PTTG1IP	PTTG1IP
GAMO_00055314	unknown	UNKNOWN
GAMO_00055318	COL10A1	COL10A1
GAMO_00055324	FHL2	FHL2
GAMO_00055366	GJD2	GJD2
GAMO_00055369	unknown	UNKNOWN
GAMO_00055406	MEIS2	MEIS2
GAMO_00055423	unknown	UNKNOWN
GAMO_00055600	IGKV4-1	IGKV4-1
GAMO_00055696	IGKC	IGKC
GAMO_00055776	unknown	UNKNOWN
GAMO_00055867	ATL1	ATL1
GAMO_00055920	TXLNB	TXLNB
GAMO_00055954	Vsnl1	VSNL1
GAMO_00055955	SCML4	SCML4
GAMO_00055973	IGKC	IGKC
GAMO_00056069	ZNF106	ZNF106
GAMO_00056098	UBE2D2	UBE2D2
GAMO_00056133	LOXL3	LOXL3
GAMO_00056284	KY	KY
GAMO_00056559	COCH	COCH
GAMO_00056622	CFD	CFD
GAMO_00056666	unknown	UNKNOWN
GAMO_00056692	MR1	MR1
GAMO_00056999	dnase1	DNASE1
GAMO_00057073	PPL	PPL
GAMO_00057137	PRMT1	PRMT1
GAMO_00057139	SNRNP70	SNRNP70
GAMO_00057140	LIN7B	LIN7B
GAMO_00057142	emp2	EMP2
GAMO_00057185	TNNT3	TNNT3
GAMO_00057277	AOC3	AOC3
GAMO_00057311	NSF	NSF
GAMO_00057341	PRSS27	PRSS27
GAMO_00057399	unknown	UNKNOWN
GAMO_00057424	bglap	BGLAP
GAMO_00057455	Cnn1	CNN1
GAMO_00057653	SOX10	SOX10
GAMO_00057853	Pglyrp2	PGLYRP2
GAMO_00058234	FAHD1	FAHD1
GAMO_00058246	RPL3	RPL3
GAMO_00058248	NDUFB10	NDUFB10
GAMO_00058317	PVALB	PVALB
GAMO_00058339	SUMO2	SUMO2
GAMO_00058340	JPT1	JPT1
GAMO_00058413	TCAP	TCAP
GAMO_00058441	Acly	ACLY
GAMO_00058626	Dhx58	DHX58
GAMO_00058656	unknown	UNKNOWN
GAMO_00058795	UBFD1	UBFD1
GAMO_00058896	PPAN	PPAN
GAMO_00059061	tubb4	TUBB4
GAMO_00059076	CLDN6	CLDN6
GAMO_00059077	TRIM39	TRIM39
GAMO_00059086	Ifi44	IFI44
GAMO_00059088	IFI44	IFI44
GAMO_00059113	unknown	UNKNOWN
GAMO_00059115	PIRT	PIRT
GAMO_00059159	SRSF2	SRSF2
GAMO_00059241	HSPA8	HSPA8
GAMO_00059243	HSPA1A	HSPA1A
GAMO_00059363	IGLC6	IGLC6
GAMO_00059367	AATK	AATK
GAMO_00059448	Tspan1	TSPAN1
GAMO_00059454	EPOR	EPOR
GAMO_00059662	F10	F10
GAMO_00059848	unknown	UNKNOWN
GAMO_00059849	unknown	UNKNOWN
GAMO_00059914	Prf1	PRF1
GAMO_00059915	Prf1	PRF1
GAMO_00059923	PPP1CA	PPP1CA
GAMO_00059937	PACSIN3	PACSIN3
GAMO_00059953	Mybpc2	MYBPC2
GAMO_00060041	Abca3	ABCA3
GAMO_00060046	ABCA3	ABCA3
GAMO_00060213	Rbx1	RBX1
GAMO_00060256	Trim39	TRIM39
GAMO_00060274	atp2a1	ATP2A1
GAMO_00060376	HIST1H3A	HIST1H3A
GAMO_00060538	HHATL	HHATL
GAMO_00060715	Tagln3	TAGLN3
GAMO_00060907	INHBA	INHBA
GAMO_00060910	INHBA	INHBA
GAMO_00061000	CPB1	CPB1
GAMO_00061017	CELA2A	CELA2A
GAMO_00061057	nrn1	NRN1
GAMO_00061116	EIF1AX	EIF1AX
GAMO_00061120	PF13_0198	PF13_0198
GAMO_00061183	Sulf1	SULF1
GAMO_00061217	Smpx	SMPX
GAMO_00061222	PHEX	PHEX
GAMO_00061285	GPR158	GPR158
GAMO_00061287	Gpr158	GPR158
GAMO_00061412	CDH18	CDH18
GAMO_00061587	sox17a	SOX17A
GAMO_00061600	CHMP5	CHMP5
GAMO_00061603	MYOM1	MYOM1
GAMO_00061654	unknown	UNKNOWN
GAMO_00061655	dnajb6-b	DNAJB6-B
GAMO_00061662	Mnx1	MNX1
GAMO_00062427	PDE1C	PDE1C
GAMO_00062433	unknown	UNKNOWN
GAMO_00062606	Aoc1	AOC1
GAMO_00062608	Myh7	MYH7
GAMO_00062716	NLRP3	NLRP3
GAMO_00062982	Tnfsf10	TNFSF10
GAMO_00063215	PSME2	PSME2
GAMO_00063345	RDH10	RDH10
GAMO_00063583	NMT1	NMT1
GAMO_00063635	egr2b	EGR2B
GAMO_00063709	Metrn	METRN
GAMO_00063744	CRHR1	CRHR1
GAMO_00063854	unknown	UNKNOWN
GAMO_00063933	Adam11	ADAM11
GAMO_00063943	phospho1	PHOSPHO1
GAMO_00063956	SLC35G1	SLC35G1
GAMO_00063959	LGI1	LGI1
GAMO_00063999	Afap1l2	AFAP1L2
GAMO_00064023	NRAP	NRAP
GAMO_00064048	unknown	UNKNOWN
GAMO_00064251	QKI	QKI
GAMO_00064300	RPL38	RPL38
GAMO_00064362	VSTM4	VSTM4
GAMO_00064455	PYY	PYY
GAMO_00064456	Mpp2	MPP2
GAMO_00064568	PVALB	PVALB
GAMO_00064569	PVALB	PVALB
GAMO_00064579	Baiap2l1	BAIAP2L1
GAMO_00064734	PDAP1	PDAP1
GAMO_00064820	Acta2	ACTA2
GAMO_00064877	unknown	UNKNOWN
GAMO_00064931	ARHGAP22	ARHGAP22
GAMO_00064953	HS3ST3A1	HS3ST3A1
GAMO_00064977	Pmp22	PMP22
GAMO_00065015	ddit4	DDIT4
GAMO_00065016	ANAPC16	ANAPC16
GAMO_00065212	Synpo2l	SYNPO2L
GAMO_00065215	USP54	USP54
GAMO_00065226	Ldb3	LDB3
GAMO_00065229	SNCA	SNCA
GAMO_00065231	unknown	UNKNOWN
GAMO_00065232	unknown	UNKNOWN
GAMO_00065259	gch1	GCH1
GAMO_00065270	MYLPF	MYLPF
GAMO_00065282	Tgfb1i1	TGFB1I1
GAMO_00065295	atp2a1	ATP2A1
GAMO_00065418	TMEM94	TMEM94
GAMO_00065456	RAB37	RAB37
GAMO_00065468	UBE2D4	UBE2D4
GAMO_00065473	Ptrf	PTRF
GAMO_00065484	ARHGAP23	ARHGAP23
GAMO_00065490	Rhobtb1	RHOBTB1
GAMO_00065704	unknown	UNKNOWN
GAMO_00065727	PTPRE	PTPRE
GAMO_00065731	ENTPD1	ENTPD1
GAMO_00065856	HRC	HRC
GAMO_00065925	Aatk	AATK
GAMO_00065998	PSMD11	PSMD11
GAMO_00066004	MYO1D	MYO1D
GAMO_00066055	CHST15	CHST15
GAMO_00066166	ARHGAP27	ARHGAP27
GAMO_00066291	LASP1	LASP1
GAMO_00066351	plekha7	PLEKHA7
GAMO_00066359	Stonustoxin	STONUSTOXIN
GAMO_00066361	MYBPC2	MYBPC2
GAMO_00066398	NGFR	NGFR
GAMO_00066653	PDPK1	PDPK1
GAMO_00066661	UBE2I	UBE2I
GAMO_00066697	PACSIN3	PACSIN3
GAMO_00066861	unknown	UNKNOWN
GAMO_00067031	SERINC1	SERINC1
GAMO_00067039	TRDN	TRDN
GAMO_00067092	Apob	APOB
GAMO_00067268	TXLNB	TXLNB
GAMO_00067306	CKB	CKB
GAMO_00067311	INF2	INF2
GAMO_00067337	Xrcc3	XRCC3
GAMO_00067402	NUP43	NUP43
GAMO_00067454	Dpysl5	DPYSL5
GAMO_00067462	actc1	ACTC1
GAMO_00067502	SUSD6	SUSD6
GAMO_00067706	RSPH3	RSPH3
GAMO_00067758	EIF2S1	EIF2S1
GAMO_00067835	PLG	PLG
GAMO_00067837	SLC22A2	SLC22A2
GAMO_00067883	SCARA5	SCARA5
GAMO_00067885	PBK	PBK
GAMO_00067956	PSMC6	PSMC6
GAMO_00068000	ARID1A	ARID1A
GAMO_00068114	FAM177A1	FAM177A1
GAMO_00068480	MRPS18A	MRPS18A
GAMO_00068566	TCF21	TCF21
GAMO_00068786	Lgals3	LGALS3
GAMO_00069049	myct1	MYCT1
GAMO_00069123	smyd2-a	SMYD2-A
GAMO_00069192	Dse	DSE
GAMO_00069348	MEP1A	MEP1A
GAMO_00069386	snap25a	SNAP25A
GAMO_00069431	Rhamnose-binding	RHAMNOSE-BINDING
GAMO_00069525	GLRX5	GLRX5
GAMO_00069527	PRKRIP1	PRKRIP1
GAMO_00069532	SERPINA1	SERPINA1
GAMO_00069581	RPF2	RPF2
GAMO_00069583	AMD1	AMD1
GAMO_00069584	unknown	UNKNOWN
GAMO_00069585	unknown	UNKNOWN
GAMO_00069899	NFYC	NFYC
GAMO_00069966	MATN1	MATN1
GAMO_00069968	SESN1	SESN1
GAMO_00069969	YES1	YES1
GAMO_00070050	SLA	SLA
GAMO_00070140	SP4	SP4
GAMO_00070295	Col1a2	COL1A2
GAMO_00070416	lrrc3b	LRRC3B
GAMO_00070613	TPM1	TPM1
GAMO_00070620	SSR2	SSR2
GAMO_00070683	unknown	UNKNOWN
GAMO_00070701	hey1	HEY1
GAMO_00070703	STMN3	STMN3
GAMO_00070826	QNR-71	QNR-71
GAMO_00070832	Fam221a	FAM221A
GAMO_00070997	Col9a2	COL9A2
GAMO_00071040	LPCAT1	LPCAT1
GAMO_00071120	RBBP4	RBBP4
GAMO_00071253	NDUFS5	NDUFS5
GAMO_00071286	PRSS1	PRSS1
GAMO_00071330	unknown	UNKNOWN
GAMO_00071391	MRPS21	MRPS21
GAMO_00071426	eomes	EOMES
GAMO_00071666	unknown	UNKNOWN
GAMO_00071667	unknown	UNKNOWN
GAMO_00071778	SYNGAP1	SYNGAP1
GAMO_00071870	nxpe3	NXPE3
GAMO_00071904	LYPLA2	LYPLA2
GAMO_00071912	EEF1A1	EEF1A1
GAMO_00072006	unknown	UNKNOWN
GAMO_00072047	apoe	APOE
GAMO_00072051	SRSF4	SRSF4
GAMO_00072243	CDCA8	CDCA8
GAMO_00072275	MR1	MR1
GAMO_00072336	unknown	UNKNOWN
GAMO_00072418	unknown	UNKNOWN
GAMO_00072474	ATP1A1	ATP1A1
GAMO_00072537	flot1	FLOT1
GAMO_00072552	unknown	UNKNOWN
GAMO_00072570	HSD17B8	HSD17B8
GAMO_00072640	CCT3	CCT3
GAMO_00072661	unknown	UNKNOWN
GAMO_00072798	pxn1	PXN1
GAMO_00072822	RPS18	RPS18
GAMO_00072824	TNXB	TNXB
GAMO_00072917	ENO2	ENO2
GAMO_00072947	Shroom2	SHROOM2
GAMO_00072949	Shroom3	SHROOM3
GAMO_00073231	lpar1-a	LPAR1-A
GAMO_00073328	NLRC3	NLRC3
GAMO_00073356	PHF24	PHF24
GAMO_00073364	PPP1R3C	PPP1R3C
GAMO_00073471	DPYSL2	DPYSL2
GAMO_00073486	Stom	STOM
GAMO_00073520	Stxbp1	STXBP1
GAMO_00073578	GRIN1	GRIN1
GAMO_00073586	CEL	CEL
GAMO_00073587	CEL	CEL
GAMO_00073620	Mapk10	MAPK10
GAMO_00073631	Esm1	ESM1
GAMO_00073656	ccbe1	CCBE1
GAMO_00073658	ccbe1	CCBE1
GAMO_00073659	ccbe1	CCBE1
GAMO_00073691	BRIX1	BRIX1
GAMO_00073737	SNCA	SNCA
GAMO_00073752	unknown	UNKNOWN
GAMO_00073769	EIF5A	EIF5A
GAMO_00073797	EDF1	EDF1
GAMO_00073829	ak1	AK1
GAMO_00073831	Tgfbr3	TGFBR3
GAMO_00073906	RGS3	RGS3
GAMO_00073910	RGS3	RGS3
GAMO_00073919	DNM1	DNM1
GAMO_00074185	ITIH5	ITIH5
GAMO_00074226	MYBPC1	MYBPC1
GAMO_00074375	CCND1	CCND1
GAMO_00074377	CCND2	CCND2
GAMO_00074905	TNNI1	TNNI1
GAMO_00075126	CALD1	CALD1
GAMO_00075299	CNTN1	CNTN1
GAMO_00075337	LRRC17	LRRC17
GAMO_00075708	NIFK	NIFK
GAMO_00075719	ACTR3	ACTR3
GAMO_00075806	unknown	UNKNOWN
GAMO_00075808	NCKAP5	NCKAP5
GAMO_00075954	PFDN2	PFDN2
GAMO_00076009	ANP32B	ANP32B
GAMO_00076115	LRAT	LRAT
GAMO_00076155	CASQ1	CASQ1
GAMO_00076172	NOP10	NOP10
GAMO_00076272	LEAP2	LEAP2
GAMO_00076297	NHSL2	NHSL2
GAMO_00076535	Tmem88	TMEM88
GAMO_00076827	ACIN1	ACIN1
GAMO_00076828	NEDD9	NEDD9
GAMO_00076976	Cd93	CD93
GAMO_00076986	IL4I1	IL4I1
GAMO_00076989	IL4I1	IL4I1
GAMO_00076993	IL4I1	IL4I1
GAMO_00077001	FGB	FGB
GAMO_00077003	FGA	FGA
GAMO_00077025	PSMB6	PSMB6
GAMO_00077050	ATP1B2	ATP1B2
GAMO_00077083	FOCAD	FOCAD
GAMO_00077104	EIF4A1	EIF4A1
GAMO_00077251	SYT4	SYT4
GAMO_00077568	SYNPO2	SYNPO2
GAMO_00077571	unknown	UNKNOWN
GAMO_00077649	TYRP1	TYRP1
GAMO_00077651	TYRP1	TYRP1
GAMO_00077652	Lurap1l	LURAP1L
GAMO_00078227	CASP1	CASP1
GAMO_00078235	CASP8	CASP8
GAMO_00078249	LGALS1	LGALS1
GAMO_00078670	unknown	UNKNOWN
GAMO_00078672	WDR55	WDR55
GAMO_00078932	unknown	UNKNOWN
GAMO_00079035	rps17	RPS17
GAMO_00079083	unknown	UNKNOWN
GAMO_00079198	unknown	UNKNOWN
GAMO_00079206	Clic5	CLIC5
GAMO_00079913	HSPA8	HSPA8
GAMO_00079934	unknown	UNKNOWN
GAMO_00079975	URGCP	URGCP
GAMO_00080011	MYH4	MYH4
GAMO_00080582	unknown	UNKNOWN
GAMO_00080601	unknown	UNKNOWN
GAMO_00080701	unknown	UNKNOWN
GAMO_00080703	unknown	UNKNOWN
GAMO_00080814	HSPA8	HSPA8
GAMO_00080819	MYH4	MYH4
GAMO_00080832	HSPA1A	HSPA1A
GAMO_00080848	IGKC	IGKC
GAMO_00080858	unknown	UNKNOWN
GAMO_00080888	Rnf213	RNF213
GAMO_00080937	unknown	UNKNOWN
GAMO_00081045	MYH4	MYH4
GAMO_00081313	CXCL1	CXCL1
GAMO_00081353	MYH4	MYH4
GAMO_00081384	IGDCC3	IGDCC3
GAMO_00081510	unknown	UNKNOWN
GAMO_00081512	HSPA8	HSPA8
GAMO_00081622	unknown	UNKNOWN
GAMO_00081641	unknown	UNKNOWN
GAMO_00081691	IGLC6	IGLC6
GAMO_00081725	BTN2A2	BTN2A2
GAMO_00081773	CEL	CEL
GAMO_00081820	MYH4	MYH4
GAMO_00081897	CLEC2D	CLEC2D
GAMO_00081952	UBE2G2	UBE2G2
GAMO_00081971	rpl31	RPL31
GAMO_00082086	unknown	UNKNOWN
GAMO_00082089	IGLC6	IGLC6
GAMO_00082114	IGKC	IGKC
GAMO_00082130	MYH4	MYH4
GAMO_00082132	IGKC	IGKC
GAMO_00082161	unknown	UNKNOWN
GAMO_00082196	unknown	UNKNOWN
GAMO_00082198	IGKC	IGKC
GAMO_00082385	IGKC	IGKC
GAMO_00082387	IGKC	IGKC
GAMO_00082441	MYH4	MYH4
GAMO_00083322	Rpl17	RPL17
GAMO_00083400	SLC41A2	SLC41A2
GAMO_00083401	COX4I1	COX4I1
GAMO_00083402	SYNE1	SYNE1
GAMO_00083403	unknown	UNKNOWN
GAMO_00083404	unknown	UNKNOWN
GAMO_00083405	unknown	UNKNOWN
GAMO_00083406	unknown	UNKNOWN
GAMO_00083407	unknown	UNKNOWN
GAMO_00083408	unknown	UNKNOWN
GAMO_00083409	SMAD9	SMAD9
